epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.998,1.40145,4.13188,1.05672,0.00073,0.10655,0.0343,0.01858,1.40979,4.52674,1.0001,0.000463459,0.000463459,0.000463459
2,209.096,1.38456,2.96203,1.02895,0.5907,0.10733,0.17112,0.11443,1.26383,4.15505,0.9882,0.000930489,0.000930489,0.000930489
3,337.982,1.3236,2.34928,1.03747,0.73644,0.2394,0.47227,0.29605,1.36778,3.63671,1.09418,0.00138809,0.00138809,0.00138809
4,463.405,1.32473,2.18363,1.04666,0.65416,0.57985,0.61421,0.37274,1.42634,2.69003,1.19094,0.00138656,0.00138656,0.00138656
5,572.609,1.29212,1.99702,1.0407,0.65688,0.56206,0.64204,0.39775,1.27085,2.36595,1.1536,0.00137241,0.00137241,0.00137241
6,676.128,1.23794,1.81699,1.02924,0.72742,0.65564,0.77184,0.47437,1.23492,2.18815,1.05863,0.00135826,0.00135826,0.00135826
7,782.833,1.27808,1.98213,1.01624,0.72151,0.74157,0.79914,0.47133,1.24663,1.9422,1.06602,0.00134412,0.00134412,0.00134412
8,888.556,1.23126,1.77057,1.0228,0.78888,0.6648,0.81258,0.53247,1.21216,1.83481,1.04539,0.00132997,0.00132997,0.00132997
9,1005.36,1.16783,1.57186,1.01298,0.83861,0.65604,0.75653,0.46015,1.27794,1.81112,1.08502,0.00131582,0.00131582,0.00131582
10,1116.49,1.19092,1.60211,1.01531,0.81937,0.72448,0.81761,0.50991,1.20108,1.75819,1.01253,0.00130168,0.00130168,0.00130168
11,1223.93,1.15587,1.38113,0.99855,0.86937,0.7431,0.82896,0.52331,1.21441,1.75315,1.03589,0.00128753,0.00128753,0.00128753
12,1333.63,1.13017,1.41682,0.98662,0.85334,0.71341,0.81317,0.51345,1.23015,1.5797,1.05655,0.00127338,0.00127338,0.00127338
13,1445.44,1.11706,1.29124,0.97613,0.81816,0.76566,0.82626,0.52776,1.21658,1.47078,1.0887,0.00125923,0.00125923,0.00125923
14,1555.28,1.09755,1.23371,0.98328,0.86738,0.74899,0.82186,0.52457,1.15395,1.41537,1.06722,0.00124509,0.00124509,0.00124509
15,1664.81,1.11853,1.18785,1.00815,0.83768,0.74917,0.87275,0.56418,1.13348,1.28608,1.03748,0.00123094,0.00123094,0.00123094
16,1774.68,1.08269,1.10892,0.96959,0.89228,0.73011,0.86541,0.52755,1.27401,1.22132,1.0367,0.00121679,0.00121679,0.00121679
17,1882.95,1.14596,1.17002,1.03812,0.84112,0.82249,0.87275,0.57495,1.10419,1.1014,1.01245,0.00120265,0.00120265,0.00120265
18,1998.9,1.06284,1.14075,0.97837,0.88747,0.75718,0.8522,0.5465,1.13,1.18185,1.03004,0.0011885,0.0011885,0.0011885
19,2117.03,1.06547,1.03785,0.99978,0.92136,0.74887,0.86848,0.56794,1.09868,1.08737,1.00976,0.00117435,0.00117435,0.00117435
20,2224.68,1.08307,1.02847,0.96626,0.90262,0.77472,0.87847,0.57441,1.08577,1.02296,1.00585,0.00116021,0.00116021,0.00116021
21,2343.18,1.0029,0.93984,0.94743,0.91309,0.7373,0.88071,0.57589,1.08231,1.06943,0.99295,0.00114606,0.00114606,0.00114606
22,2458.86,0.9904,0.90081,0.92888,0.81309,0.81238,0.88775,0.57971,1.08477,1.02063,0.97314,0.00113191,0.00113191,0.00113191
23,2570.01,1.07567,0.94755,0.95467,0.87802,0.773,0.87041,0.57154,1.07376,0.98802,0.98018,0.00111776,0.00111776,0.00111776
24,2682.2,1.01732,0.91324,0.95774,0.95214,0.73407,0.88269,0.59438,1.10356,0.95155,0.9811,0.00110362,0.00110362,0.00110362
25,2795.68,1.01746,0.86898,0.9543,0.88002,0.77803,0.87405,0.58756,1.07888,0.97732,0.98767,0.00108947,0.00108947,0.00108947
26,2904.01,0.94322,0.8159,0.92524,0.85731,0.79138,0.89422,0.57054,1.12976,1.00526,1.02629,0.00107532,0.00107532,0.00107532
27,3021.57,0.99737,0.87783,0.94624,0.87302,0.77657,0.88314,0.57663,1.0847,1.02425,1.01238,0.00106118,0.00106118,0.00106118
28,3130.6,0.94355,0.97313,0.90381,0.77169,0.8502,0.85884,0.55538,1.06368,1.01321,0.99943,0.00104703,0.00104703,0.00104703
29,3240.01,0.98156,0.86499,0.95974,0.79641,0.86093,0.89668,0.60395,1.01927,0.87942,0.99513,0.00103288,0.00103288,0.00103288
30,3349.77,0.98774,0.82088,0.93132,0.84652,0.87005,0.90874,0.60452,1.09546,0.9382,1.0153,0.00101873,0.00101873,0.00101873
31,3470.52,0.94866,0.79979,0.90855,0.8917,0.80653,0.87117,0.58106,1.04612,0.92591,1.00379,0.00100459,0.00100459,0.00100459
32,3583.45,0.98985,0.81524,0.93972,0.85029,0.81905,0.88351,0.59594,1.02474,0.92678,1.00842,0.00099044,0.00099044,0.00099044
33,3695.35,0.95551,0.78426,0.94367,0.86753,0.82721,0.89815,0.59161,1.07675,0.92764,1.02339,0.000976293,0.000976293,0.000976293
34,3805.05,0.94972,0.76085,0.91662,0.9099,0.77978,0.89978,0.63252,1.02718,0.91188,0.98592,0.000962146,0.000962146,0.000962146
35,3916.94,0.98773,0.78662,0.95431,0.90194,0.79838,0.88849,0.60785,1.02621,0.88307,0.98966,0.000947999,0.000947999,0.000947999
36,4027.23,0.97463,0.76386,0.91448,0.83733,0.85057,0.91124,0.63748,1.04153,0.84796,1.00441,0.000933851,0.000933851,0.000933851
37,4139.55,0.9619,0.74028,0.93873,0.86345,0.84092,0.90688,0.60649,1.10694,0.84976,1.03662,0.000919704,0.000919704,0.000919704
38,4246.8,0.94121,0.73769,0.92558,0.86151,0.84384,0.90335,0.62732,1.01862,0.84207,1.01204,0.000905557,0.000905557,0.000905557
39,4367.71,0.90461,0.71066,0.91296,0.90972,0.79652,0.87914,0.5889,1.07064,0.92479,0.99792,0.00089141,0.00089141,0.00089141
40,4479.48,0.93791,0.73667,0.92442,0.82019,0.8465,0.87308,0.5685,1.14384,0.90649,1.01333,0.000877263,0.000877263,0.000877263
41,4596.25,0.90832,0.7109,0.92033,0.8713,0.80133,0.89332,0.61545,1.01203,0.86437,0.99542,0.000863116,0.000863116,0.000863116
42,4720.2,0.91927,0.69372,0.8948,0.84238,0.85754,0.91037,0.59835,1.05789,0.81953,0.99691,0.000848969,0.000848969,0.000848969
43,4849.2,0.89282,0.70607,0.90677,0.8492,0.86947,0.90413,0.61182,1.08088,0.80614,1.01905,0.000834822,0.000834822,0.000834822
44,4990.48,0.88817,0.69142,0.91387,0.83318,0.85295,0.9001,0.61906,1.04668,0.81364,1.01285,0.000820675,0.000820675,0.000820675
45,5115.86,0.87553,0.65873,0.91981,0.89629,0.8537,0.89519,0.60844,1.00679,0.7945,0.96729,0.000806528,0.000806528,0.000806528
46,5413.85,0.90643,0.68402,0.92663,0.87644,0.85832,0.89919,0.61777,0.98304,0.76747,0.97986,0.00079238,0.00079238,0.00079238
47,5796.86,0.89836,0.66686,0.92434,0.87147,0.85291,0.89508,0.63807,0.98844,0.77784,0.98416,0.000778233,0.000778233,0.000778233
48,6137.09,0.90329,0.6739,0.90254,0.81243,0.90814,0.90396,0.63217,1.02012,0.78617,1.01694,0.000764086,0.000764086,0.000764086
49,6523.29,0.89328,0.66495,0.90185,0.81548,0.89541,0.88829,0.60782,1.04686,0.80723,1.02547,0.000749939,0.000749939,0.000749939
50,6903.3,0.87735,0.69806,0.91852,0.87162,0.8608,0.89632,0.62511,0.99168,0.78972,0.99868,0.000735792,0.000735792,0.000735792
51,7273.07,0.88038,0.65208,0.91895,0.88644,0.83588,0.89523,0.63826,0.95429,0.80947,0.96378,0.000721645,0.000721645,0.000721645
52,7625.49,0.89943,0.66453,0.91926,0.89965,0.82646,0.8933,0.61603,1.01575,0.76354,0.98346,0.000707498,0.000707498,0.000707498
53,7982.38,0.81124,0.64973,0.87281,0.86975,0.84499,0.89474,0.63139,0.98995,0.79426,0.9668,0.000693351,0.000693351,0.000693351
54,8333.29,0.92019,0.64397,0.90896,0.8877,0.8804,0.91423,0.62232,1.03713,0.77453,0.99887,0.000679204,0.000679204,0.000679204
55,8669.66,0.89093,0.63955,0.8949,0.87602,0.88413,0.91213,0.62572,1.01499,0.76916,1.00069,0.000665057,0.000665057,0.000665057
56,9029.06,0.84281,0.62195,0.88858,0.87575,0.84721,0.88887,0.61775,0.97965,0.76192,1.00176,0.000650909,0.000650909,0.000650909
57,9388.81,0.84761,0.62374,0.8983,0.88325,0.85749,0.90515,0.63466,0.98335,0.75049,0.98042,0.000636762,0.000636762,0.000636762
58,9749.56,0.85094,0.62271,0.9025,0.90983,0.84157,0.90827,0.62328,0.99305,0.7514,0.97362,0.000622615,0.000622615,0.000622615
59,10107.2,0.82879,0.60613,0.88172,0.90685,0.86354,0.90954,0.63483,1.00734,0.76882,1.00061,0.000608468,0.000608468,0.000608468
60,10456.8,0.84854,0.59721,0.8974,0.87167,0.89028,0.90781,0.63796,0.96788,0.7564,0.99493,0.000594321,0.000594321,0.000594321
61,10825.7,0.84009,0.60464,0.89135,0.90241,0.89892,0.91284,0.63534,0.96702,0.75762,1.00879,0.000580174,0.000580174,0.000580174
62,11184.1,0.80889,0.59525,0.88337,0.89984,0.88594,0.91087,0.62839,0.98661,0.74777,1.00372,0.000566027,0.000566027,0.000566027
63,11545.1,0.86484,0.60982,0.89753,0.91107,0.88264,0.90191,0.62484,0.97835,0.76964,1.00645,0.00055188,0.00055188,0.00055188
64,11893.2,0.83408,0.5916,0.90512,0.91281,0.88427,0.90831,0.62191,0.9648,0.78133,0.9761,0.000537733,0.000537733,0.000537733
65,12236.2,0.81619,0.58692,0.89963,0.88279,0.88787,0.90375,0.6246,0.93663,0.75475,0.96962,0.000523586,0.000523586,0.000523586
66,12601.8,0.83511,0.58183,0.89278,0.90547,0.90367,0.91093,0.64273,0.97795,0.77248,0.98497,0.000509438,0.000509438,0.000509438
67,12966,0.83096,0.57397,0.88463,0.91739,0.90022,0.91897,0.63576,0.9898,0.71719,0.98051,0.000495291,0.000495291,0.000495291
68,13327.4,0.81381,0.59305,0.87889,0.89279,0.88735,0.9106,0.63641,0.96883,0.732,0.96343,0.000481144,0.000481144,0.000481144
69,13689,0.82184,0.56385,0.88775,0.89498,0.86911,0.90605,0.64028,0.95126,0.71758,0.9717,0.000466997,0.000466997,0.000466997
70,14061.2,0.84021,0.58345,0.88739,0.89628,0.86155,0.90494,0.63692,0.982,0.7341,0.99117,0.00045285,0.00045285,0.00045285
71,14415.2,0.80702,0.57505,0.88745,0.90772,0.86068,0.90522,0.64326,0.97956,0.72418,0.99563,0.000438703,0.000438703,0.000438703
72,14775.3,0.77195,0.54421,0.87535,0.89828,0.89099,0.90993,0.65806,0.96168,0.6999,0.96671,0.000424556,0.000424556,0.000424556
73,15161.4,0.84998,0.59079,0.87584,0.9129,0.8985,0.90969,0.64194,0.96518,0.73403,0.97491,0.000410409,0.000410409,0.000410409
74,15509.5,0.80545,0.573,0.87742,0.91961,0.8822,0.90998,0.64925,0.93895,0.69764,0.96695,0.000396262,0.000396262,0.000396262
75,15884.7,0.75217,0.52263,0.87538,0.90108,0.89206,0.91169,0.63396,0.96341,0.71429,0.9726,0.000382115,0.000382115,0.000382115
76,16249.9,0.74726,0.5254,0.86842,0.89904,0.88038,0.91306,0.64352,0.92759,0.69779,0.96895,0.000367967,0.000367967,0.000367967
77,16591.9,0.81042,0.55132,0.87892,0.90943,0.88221,0.91095,0.65419,0.9219,0.68912,0.97302,0.00035382,0.00035382,0.00035382
78,16976.1,0.76799,0.536,0.86835,0.91855,0.84607,0.91048,0.639,0.95141,0.69276,0.96915,0.000339673,0.000339673,0.000339673
79,17336.5,0.76386,0.53266,0.87648,0.91547,0.87099,0.90839,0.64254,0.95728,0.67802,0.97782,0.000325526,0.000325526,0.000325526
80,17711.1,0.79282,0.54244,0.88114,0.93463,0.87006,0.91118,0.63671,0.95242,0.69271,0.97165,0.000311379,0.000311379,0.000311379
81,18090.2,0.76387,0.52126,0.86163,0.90969,0.88029,0.90825,0.64965,0.92871,0.69375,0.9569,0.000297232,0.000297232,0.000297232
82,18429,0.79125,0.53946,0.89657,0.90861,0.86716,0.90832,0.64426,0.94564,0.69834,0.96315,0.000283085,0.000283085,0.000283085
83,18750.4,0.78153,0.54243,0.8845,0.88754,0.88256,0.91235,0.65185,0.92128,0.69451,0.96858,0.000268938,0.000268938,0.000268938
84,18976.4,0.75155,0.52993,0.86445,0.906,0.85599,0.91463,0.6569,0.9264,0.67564,0.96811,0.000254791,0.000254791,0.000254791
85,19203.1,0.74191,0.50556,0.87119,0.90543,0.85472,0.91783,0.6438,0.94137,0.66823,0.96834,0.000240644,0.000240644,0.000240644
86,19437.8,0.72663,0.50129,0.85742,0.89858,0.87504,0.91723,0.65277,0.93313,0.66204,0.97175,0.000226497,0.000226497,0.000226497
87,19665.5,0.72713,0.50946,0.87327,0.91988,0.89374,0.91655,0.65539,0.93807,0.66201,0.97198,0.000212349,0.000212349,0.000212349
88,19887.6,0.73484,0.50366,0.87227,0.92254,0.88473,0.91403,0.66148,0.9256,0.65226,0.96796,0.000198202,0.000198202,0.000198202
89,20113,0.68736,0.5354,0.8481,0.91103,0.87937,0.91381,0.64963,0.9308,0.66391,0.96742,0.000184055,0.000184055,0.000184055
90,20335.8,0.71586,0.49331,0.86307,0.90732,0.8746,0.91236,0.65498,0.92888,0.66018,0.9647,0.000169908,0.000169908,0.000169908
91,20559.3,0.70192,0.4757,0.86223,0.91293,0.87498,0.9111,0.65637,0.91756,0.65737,0.96198,0.000155761,0.000155761,0.000155761
92,20786.1,0.7054,0.48664,0.85763,0.89002,0.90389,0.90809,0.65984,0.91485,0.6573,0.9577,0.000141614,0.000141614,0.000141614
93,21012,0.70979,0.50041,0.83963,0.89599,0.88283,0.90952,0.65765,0.92168,0.65028,0.95825,0.000127467,0.000127467,0.000127467
94,21244.8,0.67924,0.47459,0.8486,0.8997,0.88404,0.90912,0.65294,0.92823,0.65502,0.96798,0.00011332,0.00011332,0.00011332
95,21474.3,0.7424,0.48971,0.87068,0.89828,0.88055,0.90523,0.64504,0.92575,0.66032,0.97012,9.91726e-05,9.91726e-05,9.91726e-05
96,21697.1,0.69076,0.47039,0.85242,0.91142,0.86509,0.9044,0.64674,0.93308,0.66145,0.96678,8.50255e-05,8.50255e-05,8.50255e-05
97,21926.6,0.69082,0.46117,0.85375,0.90857,0.86513,0.90426,0.64776,0.93859,0.66697,0.96924,7.08784e-05,7.08784e-05,7.08784e-05
98,22159.4,0.69265,0.46473,0.85877,0.90625,0.86395,0.90346,0.64892,0.92117,0.66014,0.96627,5.67313e-05,5.67313e-05,5.67313e-05
99,22394.4,0.69746,0.46121,0.85956,0.90954,0.8632,0.90429,0.64491,0.92292,0.65726,0.96397,4.25842e-05,4.25842e-05,4.25842e-05
100,22629.1,0.72035,0.48317,0.85377,0.90862,0.86431,0.90493,0.65105,0.92372,0.65442,0.96318,2.84371e-05,2.84371e-05,2.84371e-05
